Water_type	Indicator	Unit	Months	Depth_stratum	Region	Type	Typename	RefCond	H-G	G-M	M-P	P-B	Worst	Sali_0	Sali_1	Sali_2	Sali_3	Sali_4	Sali_5	Sali_6	Sali_7	Sali_8	Sali_9	Sali_10	Sali_11	Sali_12	Sali_13	Sali_14	Sali_15	Sali_16	Sali_17	Sali_18	Sali_19	Sali_20	Sali_21	Sali_22	Sali_23	Sali_24	Sali_25	Sali_26	Sali_27	Sali_28	Sali_29	Sali_30	Sali_31	Sali_32	Sali_33	Sali_34	Sali_35	Sali_36	V_WBperiod	V_WBannual
Lakes	LakeBiovol	mm3/l	7,8		Norrlands kust	S3SLNY	Sjöar, grunda, stor yta, ofärgat, kalkhaltiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Norrlands kust	S3SLYN	Sjöar, grunda, stor yta, färgat, kalkfattiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Norrlands kust	S3SLYY	Sjöar, grunda, stor yta, färgat, kalkhaltiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DSNN	Sjöar, djupa, liten yta, ofärgat, kalkfattiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DSNY	Sjöar, djupa, liten yta, ofärgat, kalkhaltiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DSYN	Sjöar, djupa, liten yta, färgat, kalkfattiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DSYY	Sjöar, djupa, liten yta, färgat, kalkhaltiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DLNN	Sjöar, djupa, stor yta, ofärgat, kalkfattiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DLNY	Sjöar, djupa, stor yta, ofärgat, kalkhaltiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DLYN	Sjöar, djupa, stor yta, färgat, kalkfattiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4DLYY	Sjöar, djupa, stor yta, färgat, kalkhaltiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SSNN	Sjöar, grunda, liten yta, ofärgat, kalkfattiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SSNY	Sjöar, grunda, liten yta, ofärgat, kalkhaltiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SSYN	Sjöar, grunda, liten yta, färgat, kalkfattiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SSYY	Sjöar, grunda, liten yta, färgat, kalkhaltiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SLNN	Sjöar, grunda, stor yta, ofärgat, kalkfattiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SLNY	Sjöar, grunda, stor yta, ofärgat, kalkhaltiga	200	300	650	1000	1350	5000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SLYN	Sjöar, grunda, stor yta, färgat, kalkfattiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydöst, söder om norrlandsgränsen	S4SLYY	Sjöar, grunda, stor yta, färgat, kalkhaltiga	300	400	1000	1500	2000	10000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DSNN	Sjöar, djupa, liten yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DSNY	Sjöar, djupa, liten yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DSYN	Sjöar, djupa, liten yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DSYY	Sjöar, djupa, liten yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DLNN	Sjöar, djupa, stor yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DLNY	Sjöar, djupa, stor yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DLYN	Sjöar, djupa, stor yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5DLYY	Sjöar, djupa, stor yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SSNN	Sjöar, grunda, liten yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SSNY	Sjöar, grunda, liten yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SSYN	Sjöar, grunda, liten yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SSYY	Sjöar, grunda, liten yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SLNN	Sjöar, grunda, stor yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SLNY	Sjöar, grunda, stor yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SLYN	Sjöar, grunda, stor yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Södra Sverige, Skåne, Blekinges kust	S5SLYY	Sjöar, grunda, stor yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DSNN	Sjöar, djupa, liten yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DSNY	Sjöar, djupa, liten yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DSYN	Sjöar, djupa, liten yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DSYY	Sjöar, djupa, liten yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DLNN	Sjöar, djupa, stor yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DLNY	Sjöar, djupa, stor yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DLYN	Sjöar, djupa, stor yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6DLYY	Sjöar, djupa, stor yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6SSNN	Sjöar, grunda, liten yta, ofärgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6SSNY	Sjöar, grunda, liten yta, ofärgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6SSYN	Sjöar, grunda, liten yta, färgat, kalkfattiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
Lakes	LakeBiovol	mm3/l	7,8		Sydvest, söder om norrlandsgränsen	S6SSYY	Sjöar, grunda, liten yta, färgat, kalkhaltiga	400	600	2500	5000	10000	50000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1943.445184	2497.227976
