EU_CD Vatten	Namn Vatten	Län	Kommun(er)	Distrikt	Typindelning
SE572810-164500	Ärnöområdet sek namn	Kalmar - 08	Oskarshamn - 0882	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE572650-164000	Granholmsfjärden	Kalmar - 08	Oskarshamn - 0882	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE572565-164000	Borholmsfjärden	Kalmar - 08	Oskarshamn - 0882	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573860-164725	Stora Hökhallen	Kalmar - 08	Oskarshamn - 0882, Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573500-164660	Misterhults skärgårds inre kustvatten	Kalmar - 08	Oskarshamn - 0882, Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573500-163500	Gåsfjärden	Kalmar - 08	Oskarshamn - 0882, Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573500-163900	Skälöfjärden	Kalmar - 08	Oskarshamn - 0882, Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575782-165143	Erskärområdet sek namn	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575670-163500	Syrsan	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575880-164000	Gisslöfjärden sek namn	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575335-165000	Kåröområdet	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575430-163640	Bergholmsfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575000-163620	Gudingen	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575370-164220	Vivassen	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575150-162700	Inre Gamlebyviken	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575095-164630	Rågödjupet	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE575060-164170	Smågöfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574820-163550	Yttre Gamlebyviken	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574750-164500	Torröfjärden sek namn	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574500-164500	Asken	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574560-163950	Skeppsbrofjärden sek namn	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574440-164160	Lusärnafjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574160-163610	Verkebäcksviken	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574205-164500	Idöfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574100-164700	Björkskärsdjupet	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573865-164160	Vistingsdjupet	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573940-163560	Västrumsfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE574083-164115	Uvöfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573972-164250	Lökholmsdjupet	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE573885-163740	Grönvållsfjärden	Kalmar - 08	Västervik - 0883	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE583730-164501	Yttre Bråviken	Östergötland - 05, Södermanland - 04	Norrköping - 0581, Nyköping - 0480	SE4	12s: Östergötlands och Stockholms skärgård, mellankustvatten, som tillhör V Eg. Östersjön
SE581000-164020	Inre Valdemarsviken	Östergötland - 05	Valdemarsvik - 0563	SE4	13. Östergötlands inre skärgård
SE580250-164000	Edsviken	Östergötland - 05	Valdemarsvik - 0563	SE4	13. Östergötlands inre skärgård
SE583730-162500	Svensksundsviken	Östergötland - 05	Norrköping - 0581	SE4	13. Östergötlands inre skärgård
SE582000-164145	Gropviken	Östergötland - 05	Söderköping - 0582	SE4	13. Östergötlands inre skärgård
SE582705-163350	Inre Slätbaken	Östergötland - 05	Norrköping - 0581, Söderköping - 0582	SE4	13. Östergötlands inre skärgård
SE583718-161687	Pampusfjärden	Östergötland - 05	Norrköping - 0581	SE4	13. Östergötlands inre skärgård
SE583721-161110	Loddbyviken	Östergötland - 05	Norrköping - 0581	SE4	13. Östergötlands inre skärgård
SE583926-161744	Inre Bråviken	Östergötland - 05	Norrköping - 0581	SE4	13. Östergötlands inre skärgård
SE580950-170601	Gryts skärgårds kustvatten	Östergötland - 05	Söderköping - 0582, Valdemarsvik - 0563	SE4	14. Östergötlands, yttre kustvatten
SE581900-171101	St Anna skärgårds kustvatten	Östergötland - 05	Norrköping - 0581, Söderköping - 0582, Valdemarsvik - 0563	SE4	14. Östergötlands, yttre kustvatten
SE580380-170001	Valdemarsviks kustvatten	Östergötland - 05, Kalmar - 08	Valdemarsvik - 0563, Västervik - 0883	SE4	14. Östergötlands, yttre kustvatten
SE573150-165001	Misterhults skärgårds kustvatten	Kalmar - 08	Oskarshamn - 0882, Västervik - 0883	SE4	14. Östergötlands, yttre kustvatten
SE574450-165451	Västerviks kustvatten	Kalmar - 08	Västervik - 0883	SE4	14. Östergötlands, yttre kustvatten
SE583121-171401	Bråvikens kustvatten	Östergötland - 05, Södermanland - 04	Norrköping - 0581, Nyköping - 0480, Oxelösund - 0481	SE4	14. Östergötlands, yttre kustvatten
SE561030-122821	N Öresunds kustvatten	Skåne - 12	Helsingborg - 1283, Höganäs - 1284	SE4	5. Södra Hallands och norra Öresunds  kustvatten.
SE554500-125001	S m Öresunds kustvatten	Skåne - 12	Kävlinge - 1261, Landskrona - 1282, Malmö - 1280	SE4	6. Öresunds kustvatten.
SE554810-125240	Lundåkrabukten	Skåne - 12	Kävlinge - 1261, Landskrona - 1282	SE4	6. Öresunds kustvatten.
SE553757-130820	Malmö hamnområde	Skåne - 12	Burlöv - 1231, Lomma - 1262, Malmö - 1280	SE4	6. Öresunds kustvatten.
SE554040-125750	Lommabukten	Skåne - 12	Burlöv - 1231, Kävlinge - 1261, Lomma - 1262, Malmö - 1280	SE4	6. Öresunds kustvatten.
SE555545-124332	N m Öresunds kustvatten	Skåne - 12	Helsingborg - 1283, Landskrona - 1282	SE4	6. Öresunds kustvatten.
SE562290-124131	Helsingborgsområdet	Skåne - 12	Helsingborg - 1283	SE4	6. Öresunds kustvatten.
SE560205-143545	Sölvesborgsviken	Blekinge - 10	Sölvesborg - 1083	SE4	7. Skånes kustvatten
SE560200-143175	Valjeviken	Skåne - 12, Blekinge - 10	Bromölla - 1272, Sölvesborg - 1083	SE4	7. Skånes kustvatten
SE554800-142001	V Hanöbuktens kustvatten	Skåne - 12, Blekinge - 10	Bromölla - 1272, Kristianstad - 1290, Simrishamn - 1291, Sölvesborg - 1083	SE4	7. Skånes kustvatten
SE552500-124461	S Öresunds kustvatten	Skåne - 12	Malmö - 1280, Vellinge - 1233	SE4	7. Skånes kustvatten
SE552800-125430	Höllviken	Skåne - 12	Malmö - 1280, Vellinge - 1233	SE4	7. Skånes kustvatten
SE555950-142740	Tostebergabukten	Skåne - 12	Bromölla - 1272, Kristianstad - 1290	SE4	7. Skånes kustvatten
SE552670-142281	Sandhammaren-Simrishamn	Skåne - 12	Simrishamn - 1291, Ystad - 1286	SE4	7. Skånes kustvatten
SE555685-142290	Landöbukten sek namn	Skåne - 12	Kristianstad - 1290	SE4	7. Skånes kustvatten
SE552170-130626	Ö sydkustens kustvatten	Skåne - 12	Skurup - 1264, Trelleborg - 1287, Ystad - 1286	SE4	7. Skånes kustvatten
SE552220-130920	Ystads hamnområde	Skåne - 12	Ystad - 1286	SE4	7. Skånes kustvatten
SE552219-130919	Trelleborgs hamnområde	Skåne - 12	Trelleborg - 1287	SE4	7. Skånes kustvatten
SE553730-128890	V sydkustens kustvatten	Skåne - 12	Trelleborg - 1287, Vellinge - 1233	SE4	7. Skånes kustvatten
SE564250-162500	S n Kalmarsund	Kalmar - 08	Borgholm - 0885, Kalmar - 0880, Mörbylånga - 0840	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE565800-163000	Lövöområdet sek namn	Kalmar - 08	Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE570730-163715	Taktöområdet sek namn	Kalmar - 08	Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE570340-163710	Ödänglaområdet sek namn	Kalmar - 08	Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE570080-163430	Mönsteråsområdet sek namn	Kalmar - 08	Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE570500-163750	Emområdet sek namn	Kalmar - 08	Mönsterås - 0861, Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE563825-161810	Västra sjön	Kalmar - 08	Kalmar - 0880	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE563770-161670	Hossmoviken	Kalmar - 08	Kalmar - 0880	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE565460-163000	Pataholmsviken	Kalmar - 08	Kalmar - 0880, Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE565000-162825	Bockskärs skärgård	Kalmar - 08	Kalmar - 0880, Mönsterås - 0861	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE572500-164500	Simpevarpsområdet	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE572000-163835	Figeholmsområdets kustvatten	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE572205-163500	Fågelöfjärden	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561000-153320	Danmarksfjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561080-153835	Lyckebyfjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560810-153980	Östra fjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560780-153500	Yttre redden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560795-154730	Hallarumsviken	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560500-154435	Gåsefjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560500-154880	Torhamnsfjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560385-154500	Kållafjärden	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560290-154710	Djupfjärden sek namn	Blekinge - 10	Karlskrona - 1080	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560940-151740	Ronnebyfjärden	Blekinge - 10	Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561000-152500	Kålfjärden	Blekinge - 10	Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560900-151260	Spjälköområdet	Blekinge - 10	Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560775-153055	Västra fjärden	Blekinge - 10	Karlskrona - 1080, Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560750-152500	Arpöfjärden sek namn	Blekinge - 10	Karlskrona - 1080, Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560740-152650	Hästholmsfjärden	Blekinge - 10	Karlskrona - 1080, Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561005-150250	Tjäröfjärden	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560895-145975	Boköfjärden	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560950-145810	Matviksfjärden	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560900-145280	Karlshamnsfjärden	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560895-145500	Sandviksfjärden	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560790-145850	Tärnöfjärden sek namn	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561000-150390	Järnavikafjärden sek namn	Blekinge - 10	Karlshamn - 1082, Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560825-144215	Inre Pukaviksbukten	Blekinge - 10	Karlshamn - 1082, Sölvesborg - 1083	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE560740-144375	Mellersta Pukaviksbukten	Blekinge - 10	Karlshamn - 1082, Sölvesborg - 1083	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE622384-147046	Bredasund	Blekinge - 10	Ronneby - 1081	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE571450-163320	Oskarshamnsområdet	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE571552-162848	Inre Oskarshamnsområdet	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561480-148220	Stärnö Sandvik	Blekinge - 10	Karlshamn - 1082	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE561150-147620	Yttre Pukaviksbukten	Blekinge - 10	Karlshamn - 1082, Sölvesborg - 1083	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE633846-154163	Påskallavikområdet	Kalmar - 08	Oskarshamn - 0882	SE4	8. Blekinge skärgårds och Kalmarsunds inre kustvatten.
SE563100-161500	N v s Kalmarsunds kustvatten	Kalmar - 08	Kalmar - 0880, Mörbylånga - 0840, Torsås - 0834	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE561400-161201	S Kalmarsunds utsjövatten	Kalmar - 08, Blekinge - 10	Kalmar - 0880, Karlskrona - 1080, Mörbylånga - 0840, Torsås - 0834	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE562050-160820	M v s Kalmarsunds kustvatten	Blekinge - 10, Kalmar - 08	Karlskrona - 1080, Torsås - 0834	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE562000-162271	Ö s Kalmarsunds kustvatten	Kalmar - 08	Kalmar - 0880, Mörbylånga - 0840	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE565400-163600	M n Kalmarsunds utsjövatten	Kalmar - 08	Borgholm - 0885, Kalmar - 0880, Mönsterås - 0861, Mörbylånga - 0840	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE570900-164501	N n Kalmarsunds utsjövatten	Kalmar - 08	Borgholm - 0885, Mönsterås - 0861, Oskarshamn - 0882	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE560700-155801	S v s Kalmarsunds kustvatten	Blekinge - 10	Karlskrona - 1080	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE560930-150810	Vierydfjorden	Blekinge - 10	Ronneby - 1081	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE560850-150580	Östre fjorden	Blekinge - 10	Ronneby - 1081	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE621688-144133	Västra Blekinge skärgårds kustvatten	Blekinge - 10	Karlshamn - 1082, Sölvesborg - 1083	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE622011-146303	Mellersta Blekinge skärgårds kustvatten	Blekinge - 10	Karlshamn - 1082, Karlskrona - 1080, Ronneby - 1081	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE621157-148904	Östra Blekinge skärgårds kustvatten	Blekinge - 10	Karlskrona - 1080	SE4	9. Blekinge skärgård, och Kalmarsunds yttre kustvatten.
SE580025-113168	Skärhamnområdet	Västra Götaland - 14	Tjörn - 1419	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE575747-113237	Klädesholmenområdet	Västra Götaland - 14	Tjörn - 1419	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580325-113500	Stigfjorden	Västra Götaland - 14	Orust - 1421, Tjörn - 1419	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580610-113615	Kalvöfjorden	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580650-113000	Boxvike kile	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580500-112970	Lyresund	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582665-111706	Hunnebostrand skärgård	Västra Götaland - 14	Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582850-111760	Bottnefjorden	Västra Götaland - 14	Sotenäs - 1427, Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584750-111185	Stridsfjorden	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584450-111445	Sannäsfjorden sek namn	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584725-111050	Lindöfjorden sek namn	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584670-111300	Tanumskilen	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584030-111400	Grebbestad inre skärgård	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE583710-111535	Fjällbacka inre skärgård	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE583625-111300	Fjällbacka yttre skärgård	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584890-110950	Råssö-Resöfjorden sek namn	Västra Götaland - 14	Strömstad - 1486, Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582040-112157	Slaholmen området	Västra Götaland - 14	Lysekil - 1484	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE581853-112736	Trälebergskile	Västra Götaland - 14	Lysekil - 1484	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE581338-112332	Grundsundsområdet	Västra Götaland - 14	Lysekil - 1484	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582230-112255	Åbyfjorden	Västra Götaland - 14	Lysekil - 1484, Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585990-111125	Dynekilen	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585930-110800	Yttre Dynekilen	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585600-110880	Strömstadsfjorden	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585200-111140	Inre Tjärnöarkipelagen	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585290-110830	N Yttre Tjärnöarkipelage	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE585160-110880	Flo	Västra Götaland - 14	Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582210-111880	Hovenäset området	Västra Götaland - 14	Lysekil - 1484, Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580338-112901	Kråke fjord	Västra Götaland - 14	Orust - 1421, Tjörn - 1419	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE581748-112411	Saltö fjord	Västra Götaland - 14	Lysekil - 1484	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582000-112350	Yttre Brofjorden	Västra Götaland - 14	Lysekil - 1484	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE583050-110650	Heestrand området	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE583160-111551	Hamburgsundsområdet	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584363-110971	s Långebyområdet	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE584400-116000	n Långebyområdet	Västra Götaland - 14	Tanum - 1435	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582147-111771	Kungshamn s skärgård	Västra Götaland - 14	Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582302-111451	Kungshamn n skärgård	Västra Götaland - 14	Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE582420-111370	Haby bukt	Västra Götaland - 14	Sotenäs - 1427	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580530-112700	s Käringöfjorden inre skärgård	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580765-112501	n Käringöfjorden inre skärgård	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE580860-114560	Tången området	Västra Götaland - 14	Orust - 1421	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE590900-112300	Inre Singlefjorden	Østfold - N1, Västra Götaland - 14	Halden - N101, Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE0101010301-C	Singlefjorden	Østfold - N1, Västra Götaland - 14	Halden - N101, Hvaler - N111, Sarpsborg - N105, Strömstad - 1486	SE5	1n: Västkustens inre kustvatten som tillhör Skagerrak
SE571240-121000	Klosterfjorden	Halland - 13	Varberg - 1383	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE570900-121060	Balgöarkipelagen	Halland - 13	Varberg - 1383	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE571720-120640	Vändelsöarkipelagen	Halland - 13	Kungsbacka - 1384, Varberg - 1383	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573173-115587	Maleviken	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573044-115355	Risö-Säröarkipelagen	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573100-115580	Skörvallaviken	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572980-115576	Stallviken	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572838-115515	Låddholmsviken	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572472-120302	Inre Kungsbackafjorden	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572135-120141	Yttre Kungsbackafjorden	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572308-115550	Öckerösund	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572227-115662	Kyrkefjälls sund	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE572072-115880	Varren	Halland - 13	Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573500-115150	Askims fjord	Västra Götaland - 14, Halland - 13	Göteborg - 1480, Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573322-115478	Kräklingeområdet	Västra Götaland - 14, Halland - 13	Göteborg - 1480, Kungsbacka - 1384	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE574630-113940	Källö fjord	Västra Götaland - 14	Öckerö - 1407	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE574330-114000	Stora Kalvsund	Västra Götaland - 14	Öckerö - 1407	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE574370-114250	Björköfjorden	Västra Götaland - 14	Göteborg - 1480, Öckerö - 1407	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE574000-114230	Dana fjord	Västra Götaland - 14	Göteborg - 1480, Öckerö - 1407	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE574870-113795	Sälö fjord	Västra Götaland - 14	Kungälv - 1482, Öckerö - 1407	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573860-115000	Asperöfjorden sek namn	Västra Götaland - 14	Göteborg - 1480	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
SE573797-114618	Brännö- Styrsöområdet	Västra Götaland - 14	Göteborg - 1480	SE5	1s: Västkustens inre kustvatten som tillhör Kattegatt
